編號,菜品名稱,單位,價格
521,紫椰菜絲,斤,1
522,紅什菜,磅,1
522a,紅雜菜(淨菜),磅,1
523,雞骨草,斤,1
524,芋頭片,斤,1
525,芋頭條,斤,1
526,雞粉1kg,包,1
527,沙糖(30kg),包,1
528,雞比菇粒,磅,1
529,金瓜,斤,1
530,紫淮山,斤,1
531,粗鹽,包,1
532,大金菇,包,1
533,旺菜(切料),斤,1
534,紫淮山肉,斤,1
535,小香蔥,斤,1
536,沙律菜,磅,1
537,椰菜苗,斤,1
538,保鮮紙,盒,1
539,李錦記蠔油(5磅),枝,1
540,享氏白醋,枝,1
541,芝麻油,枝,1
542,辣椒葉,斤,1
543,紫蕃薯肉,斤,1
544,泰國椰菜苗,包,1
545,薑絲,斤,1
546,迷碟香,兩,1
547,紅豆,斤,1
548,薯仔粉,斤,1
549,叉燒,斤,1
550,糖醬,枝,1
551,京蔥(切料),斤,1
552,去定冬菇(磅),磅,1
553,蔥絲,斤,1
554,珠江橋牌草菇老抽,枝,1
555,蕃薯粉,斤,1
556,肉桂粉,斤,1
557,薯仔粒,斤,1
558,甘筍粒,斤,1
559,茄汁豆,罐,1
560,薯仔角,斤,1
561,巴西草,兩,1
562,甘筍粒,斤,1
563,黑芝麻糕,包,1
564,紅豆糕,包,1
565,什糧糕,包,1
566,棗皇糕,包,1
567,蜂巢糕,包,1
568,甜辣雞汁,枝,1
569,粟米粒,斤,1
570,雜糕,包,1
571,甜酸菜,樽,1
572,菜乾,斤,1
573,糯米,斤,1
574,海帶,斤,1
575,酸梅子,斤,1
576,夏枯草,斤,1
577,生抽,枝,1
578,蠔油,枝,1
579,幼鹽,包,1
580,生粉,包,1
590,片糖,包,1
591,鹵水,枝,1
592,辣椒乾,斤,1
601,菜心(切料),斤,1
601-A,菜心粒,斤,1
6010,西生菜(切料),斤,1
6010-A,西生菜粒,斤,1
6011,大白菜(切料),斤,1
6013,學斗(切料),斤,1
6013-A,學斗粒,斤,1
6015,白菜心(切料),斤,1
